Feature,Mean,Median,Std,Minimum,Maximum,Skewness,Kurtosis
Destination_Port,348.0414,80.0,387.5820597903715,0.0,1028.0,0.9480814363640824,-0.7610588848118796
Flow_Duration,3229319.1075,51646.0,5250734.75829609,0.0,13323981.125,1.2404590687164139,-0.2734816571501435
Total_Fwd_Packets,3.9662,2.0,3.5914269301684913,1.0,12.0,1.2595883011144466,0.18121314026386504
Total_Length_of_Fwd_Packets,202.8413,66.0,277.66600287976473,0.0,812.0,1.3855593564847954,0.3508649481060164
Fwd_Packet_Length_Max,127.3576,40.0,173.86074910182526,0.0,496.0,1.2408202603412546,-0.15923461820560014
Fwd_Packet_Length_Min,16.58745,2.0,21.645128289187053,0.0,92.5,0.9696448371658384,-0.20955554533180498
Fwd_Packet_Length_Mean,38.72069627424991,36.0,34.58467624282635,0.0,121.0,0.9415424582386355,0.26871291495163696
Bwd_Packet_Length_Max,471.3461,97.0,706.312386719611,0.0,1856.0,1.2233974012550564,-0.33096815999721807
Bwd_Packet_Length_Min,41.0022,0.0,59.52815934778711,0.0,205.0,1.2522045708157694,0.3620297825915122
Flow_Bytes_s,66646.97257753274,3608.2436264999997,106574.75418912244,0.0,267062.1940724625,1.2120405595488541,-0.3867144939910223
Flow_Packets_s,9678.494720588482,66.9092139169,15712.24624124405,0.0167017113,44639.811417355486,1.343355392823603,0.23303800640395478
Flow_IAT_Mean,356466.13104331185,20681.4,558207.5825727788,0.0,1390165.22225,1.1865882428386694,-0.44713308348164205
Flow_IAT_Std,898292.7328344551,12155.97988738415,1470219.579347323,0.0,3723151.336818825,1.2250515902022396,-0.32728895435258476
Flow_IAT_Max,2814430.4089,47076.5,4613929.561826075,0.0,12498281.0,1.2814368636222786,-0.0977781916810665
Flow_IAT_Min,46.6009,4.0,64.16872900228098,-1.0,168.0,1.1463358429570865,-0.37857163026390106
Fwd_IAT_Mean,452996.6583949148,49.0,750392.2597033953,0.0,1842329.1695625,1.199401178557171,-0.441684664238879
Fwd_IAT_Std,362651.5058462552,0.0,605712.3302595671,0.0,1415821.0739375,1.1357031377115154,-0.679162488347711
Fwd_IAT_Min,32.6715,3.0,48.89204926159364,0.0,122.5,1.1357442563763833,-0.5095721539626727
Bwd_IAT_Total,95285.7558,3.0,154151.89364442392,0.0,376100.0,1.1663047815820387,-0.5063916761531289
Bwd_IAT_Mean,18577.52582137496,3.0,30181.20073422567,0.0,74225.0,1.1858844385821823,-0.45159130734369857
Bwd_IAT_Std,17932.207068005722,0.0,29666.222985151642,0.0,72727.7385842473,1.1837491204441257,-0.4804668520933366
Bwd_IAT_Max,74254.6174,3.0,122296.24945081327,0.0,302772.5,1.22007516712912,-0.36997464044876294
Bwd_IAT_Min,22.77805,2.0,38.741874070289214,0.0,117.5,1.6380439580167236,1.2596702612348118
Fwd_Header_Length,103.4232,64.0,93.13256073547487,-116.0,300.0,1.1912138229970832,-0.05881234339749275
Bwd_Header_Length,87.4532,40.0,93.87890889179248,-148.0,300.0,1.2559245718398646,0.23791239571187095
Bwd_Packets_s,1320.54442190503,18.469438529999998,2216.206347992907,0.0,5208.0818566761245,1.1530260856449337,-0.6358552020219941
Min_Packet_Length,16.30545,2.0,21.386561523510036,0.0,92.5,0.9405536715208681,-0.3730763992588644
Max_Packet_Length,652.0326,102.0,1002.0956269247912,0.0,2756.0,1.3457008849627083,0.12398747196095172
Packet_Length_Mean,114.86902297068792,63.0,134.00467800289155,0.0,379.33333325,1.1409786064054597,-0.25811690506382945
Packet_Length_Variance,64205.5100639962,1044.3,105913.42554836911,0.0,259332.3795625005,1.1974408141139692,-0.46916912575767666
PSH_Flag_Count,0.2994,0.0,0.45801814162957144,0.0,1.0,0.8761230605921093,-1.2326549536983875
ACK_Flag_Count,0.3152,0.0,0.46461871147716977,0.0,1.0,0.7956501226815581,-1.3672143651593245
Down_Up_Ratio,0.6739,1.0,0.544507519547604,0.0,2.5,0.09822994229625384,-0.1675652099486098
Init_Win_bytes_forward,4624.82555,251.0,7513.341045317891,-1.0,20481.5,1.3928999457761462,0.29616600819963734
Init_Win_bytes_backward,136.8575,0.0,198.73610592373439,-1.0,589.0,1.2890561928602728,0.3737235177848679
act_data_pkt_fwd,1.86975,1.0,2.2897891280476226,0.0,7.5,1.4201693162110989,0.8312127353352246
min_seg_size_forward,25.8726,20.0,6.4792875655225926,2.0,50.0,0.3777258967257553,-1.1566527942015998
