TSNE1,TSNE2,Label
16.210096,26.299524,0
16.83506,-76.17796,0
77.42114,6.5049386,4
28.567987,-79.046776,0
-6.6274905,-22.826937,0
104.57719,0.10319469,4
-4.2753434,9.551788,0
-53.761753,-26.678507,0
-43.822998,-17.774736,0
25.635616,10.986426,0
31.859045,8.517737,0
-36.553852,90.48818,0
-26.441404,81.209526,0
13.484961,21.492489,0
101.82218,-12.309194,4
61.288498,-57.374718,2
17.491718,9.190422,0
69.535706,-19.624718,0
-18.49539,0.37650844,0
69.308586,-9.358619,0
82.39925,-10.320023,4
-9.005186,-74.87442,0
-52.283463,-38.883736,0
-84.58604,-35.157997,10
-4.647224,-18.9128,0
-8.62888,16.90587,0
-71.588196,21.560343,0
-8.582899,23.27974,0
-6.1942325,-62.63321,0
20.96898,-51.728336,2
39.69652,-44.283424,0
-33.535168,-57.352795,0
-86.13511,22.548708,0
49.301872,26.495117,0
87.83289,-0.25730762,4
-59.916626,-48.81943,0
-11.065004,-9.4040365,0
-83.80929,9.430679,0
29.818624,-49.739246,2
14.42369,-69.4217,0
7.676594,77.1131,0
-26.482403,-77.60283,0
37.27856,33.525433,0
-70.71899,20.358093,0
-60.87411,-52.32809,0
13.392623,76.741005,0
3.3335474,-104.1511,10
-51.359184,-13.9612465,0
1.9725325,67.73315,0
-8.4901705,62.17556,0
-81.004326,21.197193,0
2.6596353,68.782036,0
-22.478691,-29.903873,0
-59.932938,-29.67204,0
-60.876534,-52.117336,0
-82.46016,-39.13983,0
-14.9654255,-8.087749,0
-86.84292,-25.510452,10
-1.6344259,-0.8885712,0
58.34635,-46.136154,2
-38.78452,43.473866,0
-62.39517,62.529053,0
41.99406,-67.6269,0
-84.17165,-43.697304,0
-87.850006,0.0023741694,0
-21.899994,2.7517135,0
-31.24749,-59.68045,0
32.125977,-50.27955,2
-63.97485,45.26682,0
-35.111572,-75.51652,0
-3.0863698,-76.85493,0
-30.530895,-60.17865,0
58.50787,18.862425,0
-0.087188,-15.175713,2
-6.9801326,-80.98093,0
32.93047,-15.66648,0
-53.137722,12.914583,0
68.46071,-22.233992,0
58.19505,25.849674,0
10.412438,-34.155083,0
81.85981,-13.0041065,4
4.4030743,34.248104,0
70.76933,-0.7543771,0
-21.444239,-46.02383,0
48.69868,15.802557,0
-48.438763,1.9563679,0
44.99416,-22.951408,0
29.377419,3.587746,0
82.10227,33.295788,4
5.831787,-55.003525,0
-52.080273,-27.83981,0
-17.797031,1.0371886,0
49.678043,13.485492,0
43.952206,8.996683,0
32.801014,-30.631416,0
-60.545082,-51.290672,1
35.717785,38.29482,0
-2.1431143,-43.784813,0
-67.68191,-7.7787094,0
-2.3253863,-44.44472,0
-54.94111,49.703964,0
31.491762,-14.698388,0
58.277245,37.121677,6
9.175709,36.053707,0
-83.87022,-25.753159,10
29.453703,-11.622384,0
15.274081,-74.63102,0
-81.90033,8.865481,0
36.743217,27.87362,0
5.6906233,60.58967,0
-39.292126,6.253867,0
61.044144,33.976963,0
-83.72255,24.328962,0
12.579996,-70.343735,0
-71.2486,6.277886,0
-0.41653565,-38.30542,0
-27.149118,-62.08191,0
-81.22621,21.351452,0
57.563423,5.438258,3
-52.129993,-27.806074,0
29.308203,3.7104335,0
81.423904,38.249805,4
68.82449,-21.300737,0
42.35166,45.429924,0
-3.373557,16.944933,0
-8.947011,62.563454,0
-7.0145016,30.127657,0
-18.995937,58.400917,0
17.100842,3.1705859,0
42.06571,45.481606,0
36.14322,19.027739,0
-16.129576,-45.884144,0
32.304348,33.577744,0
25.97847,35.294117,0
-18.518064,43.780266,0
-15.715813,-52.932163,0
36.755814,35.214462,0
-37.923244,90.12416,0
-70.9507,20.565355,0
105.53193,1.1903647,4
-40.025124,-81.340256,0
29.729433,48.965214,0
-18.086987,5.22243,0
-13.650451,-31.03733,0
99.190346,-10.469188,4
-22.27376,-26.720121,0
19.79361,-65.43661,0
12.049623,-49.832436,0
57.712162,-37.64964,2
27.846125,19.887526,0
-20.004128,-70.21781,0
-19.838326,41.545456,0
56.77406,-14.04858,0
82.68434,-34.729824,2
1.8471589,65.985115,0
2.563434,-96.79103,10
-3.9480891,43.8634,0
39.090626,8.574844,0
-36.57193,11.472185,0
57.29691,-34.929768,2
20.534807,7.3317456,0
19.33574,-16.212011,0
45.64432,16.297232,0
-22.744812,72.935104,0
28.213644,52.52592,6
-0.1550291,-60.661774,0
-56.02929,60.144753,0
36.68765,-24.944267,0
-29.77356,24.945076,0
8.416995,-62.83123,0
-72.42227,-3.4167414,0
-84.243744,0.88836735,0
-87.11457,-0.16316527,0
-52.78804,51.08087,0
41.218876,-68.29698,0
61.17502,22.225319,0
-70.007576,1.1469759,0
54.91404,16.05388,0
-61.77213,46.026455,0
-86.38094,1.3755149,0
-35.978653,77.495316,0
-1.1686835,31.091349,0
-36.51234,79.06575,0
91.17591,-31.493855,2
-4.6339107,-18.903883,0
-7.851365,60.63585,0
57.33315,31.550371,0
38.341034,10.577298,0
2.3316882,68.80598,0
28.01797,-45.59916,0
12.392692,2.8491004,0
-62.235363,33.307827,0
-36.19122,-53.31044,0
-52.771397,-15.217707,0
-27.810488,-76.02796,0
36.731064,61.497612,0
25.351309,48.118427,0
14.895219,16.47283,7
7.9075556,76.831894,0
25.315453,48.45133,0
32.11361,-30.293615,0
-37.98856,78.073555,0
31.510563,-19.876621,0
41.074226,11.820938,0
29.353922,-8.803065,0
10.157206,69.14485,0
-6.026279,-99.25058,10
-72.84272,6.4351535,0
-26.408123,-62.627388,0
