UMAP1,UMAP2,Label
15.560608,1.3380615,0
-6.8972025,13.096462,0
-6.4819174,6.3713007,4
-13.369497,4.366926,0
11.180716,-4.0608044,0
1.5351754,14.212919,4
8.085125,10.255402,0
-2.7414904,11.096819,0
14.378935,-0.6549066,0
7.6536,5.284984,0
7.4868674,4.7327094,0
-1.9117373,-0.1722022,0
1.0290344,-0.9127509,0
6.1294923,6.8007445,0
14.584357,17.089497,4
15.269091,10.377486,2
6.842329,6.1610584,0
-2.6908193,-9.258035,0
-8.220849,-2.908568,0
-9.196014,-6.3480396,0
17.6288,-2.1501071,4
20.969578,1.9102844,0
-2.5289557,12.862852,0
-1.2570106,3.966714,10
11.119648,-4.5937,0
-0.57359105,-5.6778836,0
-1.1361727,-8.749815,0
-0.8343048,-5.3574686,0
-1.3736693,14.559435,0
-3.4281378,17.055952,2
-6.6876574,8.570294,0
1.9942579,9.863433,0
-5.094573,-10.111674,0
10.169335,3.643651,0
-9.564378,8.734806,4
-3.7584765,11.968353,0
13.314056,-2.9589345,0
0.9312777,17.264088,0
-6.492934,0.015444433,2
13.329103,14.472448,0
5.83508,13.23656,0
1.6333852,7.6409483,0
9.7390375,5.480131,0
-1.2071493,-8.733002,0
-3.690517,11.342034,0
6.1837173,13.304247,0
11.820926,-6.6151366,10
13.933417,-1.1209837,0
5.0896707,14.089249,0
3.4484737,14.367756,0
-4.6434317,-9.687185,0
5.1704254,13.9858675,0
13.692033,8.332346,0
-2.4773004,9.880929,0
-3.7224865,11.366601,0
7.2983527,20.33348,0
1.3386426,11.719969,0
-1.8506573,3.4975455,10
-11.129305,-5.12522,0
-1.5552686,18.297441,2
14.281563,-5.61684,0
9.892137,9.461717,0
16.072588,0.25016755,0
-1.8412902,-11.607889,0
6.858959,18.755085,0
-8.011981,-2.5758955,0
1.7894858,9.586799,0
-6.6618123,0.26409367,2
5.933894,-2.0094118,0
7.0148544,-5.6565914,0
23.26479,0.87343705,0
1.8381816,9.440842,0
9.665107,2.9975924,0
10.587504,-5.212603,2
7.5942674,-7.649454,0
6.072102,3.3590906,0
-3.734401,-4.2522306,0
-2.6065774,-9.794903,0
10.005388,2.9817595,0
16.889841,9.499975,0
17.494415,-2.014611,4
10.728946,16.801836,0
16.68539,6.426556,0
12.6485815,14.971883,0
9.141034,3.4851809,0
3.2471547,-6.5322304,0
5.111214,3.7782419,0
7.0110397,4.723802,0
4.7673607,-13.160882,4
20.732777,2.1473129,0
-2.4749684,11.039137,0
-8.219779,-2.8553734,0
8.981133,3.442104,0
8.137938,3.6969333,0
15.136194,4.148847,0
-3.7679763,11.453185,1
10.287978,5.9248796,0
20.27878,3.5700512,0
-5.924241,-5.6611714,0
20.286753,3.5696929,0
6.9673147,-1.7783751,0
6.3484664,3.1994956,0
11.442779,3.299217,6
10.769559,17.27756,0
5.4231067,26.671093,10
6.6876273,3.5210884,0
-6.7865443,13.162105,0
0.9298095,17.205624,0
9.449785,4.9894786,0
5.067139,15.083004,0
2.251326,-6.496291,0
11.290514,2.8492606,0
-4.9690166,-9.925062,0
13.216043,14.324797,0
-4.339685,-5.9311924,0
20.057634,2.6466987,0
2.076731,9.033994,0
-4.675074,-9.70529,0
8.965325,2.3593442,3
-2.5147512,11.043938,0
7.0381246,4.737494,0
4.842857,-13.7288265,4
-2.6305974,-9.650937,0
10.98923,5.9306116,0
-1.080603,-5.0711737,0
3.460306,14.370026,0
10.11936,15.367058,0
3.9862297,17.800163,0
5.9656177,5.6955576,0
10.995669,5.926583,0
8.7589855,4.818654,0
11.204907,19.96162,0
9.409794,5.647814,0
12.01882,5.038779,0
3.8651366,16.680105,0
12.940253,14.717132,0
9.991559,5.6663046,0
-1.9611804,-0.21570455,0
-1.1914669,-8.753467,0
1.28636,14.148602,4
6.167339,-5.999638,0
12.631137,4.924336,0
-8.553542,-2.437375,0
14.755652,6.65345,0
14.320066,16.821682,4
14.295328,7.7247033,0
22.211523,-1.9102371,0
9.460362,-3.147026,0
8.474235,10.463681,2
8.898293,4.8684864,0
1.2081221,8.254935,0
3.5738397,16.91322,0
4.203729,3.6153455,0
1.5592366,23.070477,2
5.0724206,14.209431,0
7.930143,-9.491151,10
6.537389,15.196551,0
7.939319,4.223774,0
1.6961169,-6.1673064,0
20.479507,7.078498,2
6.5124054,6.012967,0
3.860079,5.351602,0
8.990999,3.6880648,0
0.33993593,-0.06456058,0
12.785298,4.908555,6
20.142197,2.360128,0
9.223288,9.14989,0
5.493634,2.9299858,0
-3.0120997,-3.0028834,0
-2.868214,-15.31371,0
-5.5113697,-6.1203904,0
6.750857,18.647476,0
6.8737345,18.770973,0
7.129083,-1.71889,0
16.10581,0.14934932,0
9.550832,3.0071907,0
-5.0882134,-5.738931,0
9.291596,3.1290016,0
6.0539703,-2.0299456,0
6.790678,18.684965,0
0.42995998,-1.8625151,0
10.518448,15.945154,0
0.49455592,-1.8898752,0
11.079062,23.232046,2
11.108393,-4.596732,0
3.495144,14.3767805,0
10.8287325,2.9557269,0
8.179449,4.368559,0
5.1357837,13.987173,0
-7.5177207,0.43720677,0
6.2118654,6.6499515,0
11.648938,10.266604,0
2.7799776,10.237488,0
7.0919266,21.63014,0
7.721282,-5.739512,0
11.9942045,-7.8284016,0
12.961434,4.667132,0
15.815197,12.7995615,7
5.8558035,13.241289,0
12.948542,4.682526,0
15.140572,4.1418233,0
0.46446198,-1.7792178,0
6.103853,3.215736,0
8.025495,4.1527643,0
6.7549624,3.626189,0
5.836353,13.993136,0
4.1752234,-2.0706565,10
-4.338488,-6.0565066,0
2.0796812,8.951429,0
3.9344127,14.630759,0
14.978919,9.833244,2
1.9474397,-7.011783,0
10.924291,23.089502,2
-6.4370914,8.315748,0
-2.6375077,-2.880686,0
4.4523835,-13.860351,4
20.558071,16.534632,0
-2.8678157,-15.313455,0
8.871694,3.0702446,0
7.3123956,20.320408,0
23.504812,0.8269517,0
-3.770403,11.887007,0
8.872161,3.419391,0
10.554104,16.062685,0
